record_id,area_id,service_type,units_processed,processing_cost,operation_date
4ea5a881-5a29-48de-a158-f0549559de9b,276,Service_3,469,420.55,2025-08-24
78988ffd-1cd0-4f1d-b2d7-628de9eb8f82,289,Service_3,383,781.1,2024-11-13
2209cf8d-24ee-4b31-8e0d-53e5910f8938,250,Service_3,223,787.26,2024-03-22
61f3a4b7-6056-4279-8336-aa3427897a40,187,Service_3,446,58.61,2024-09-05
c914d6a7-dc77-4002-8122-27923b7168c6,178,Service_3,378,803.39,2025-01-24
27c91db8-d8d3-4f6e-893b-309cbaf7d580,214,Service_3,132,544.41,2023-12-18
cca80ceb-966b-4aba-84cf-68279bc02932,288,Service_3,419,431.55,2024-07-13
9c9e21d9-47eb-48f8-956d-002df4c7c7b4,152,Service_3,289,57.36,2024-08-11
0cc6ec3f-4189-4aae-9fb7-b978d5904974,170,Service_3,275,742.97,2025-07-01
e4c3892b-f9e6-49c4-b8b0-a6985046c523,309,Service_3,132,363.0,2025-06-29
2a5dc8c2-bfca-4cc5-a164-ab390ef246e1,144,Service_3,82,806.28,2024-03-14
0b4850d2-e25c-4247-9a32-9cf63863faaa,249,Service_3,490,779.85,2024-11-22
c590e6d7-69e0-420f-a6c7-8b7585a56f23,81,Service_3,231,397.5,2024-12-22
abb86bd3-1c52-40bc-8079-aabb16b5dc8b,191,Service_3,290,425.19,2024-04-19
b21393dc-afb1-4f0b-b8dc-8fb50a3a90c5,68,Service_3,30,774.02,2024-06-08
333d0c48-fdc8-473c-8e87-bfa433ccdf06,96,Service_3,159,381.25,2024-12-15
8ae0e480-1ac8-4238-b8d0-7120dc48258b,290,Service_3,41,617.53,2025-04-02
8d92f246-1a14-4852-ad35-0a15e8477146,71,Service_3,247,269.2,2024-07-09
5283fbfe-71d7-43da-893d-a221ac4611c1,7,Service_3,329,651.9,2025-10-27
018418ad-5c5e-47e9-94cf-0d940486f119,197,Service_3,278,274.82,2025-04-17
f031daf9-9884-4148-aeab-7688a735208e,245,Service_3,207,806.45,2025-03-11
a9928ec5-d49b-47a2-a357-a9bc1e58ffa4,171,Service_3,444,815.49,2025-03-04
b90ec192-9c4c-4398-b886-6b4c1f9c0bdb,92,Service_3,495,961.06,2025-04-06
98d9575b-285e-4e26-b074-c222934824dc,318,Service_3,417,962.38,2025-06-06
80e44c90-86df-409a-a983-5972a9b4223a,316,Service_3,171,892.46,2024-06-28
b0152a5c-bc39-4458-a0de-5fa6d15c3bfe,161,Service_3,209,386.7,2025-09-21
51c00fed-ed0a-4ca1-848e-86571bb8df08,186,Service_3,321,999.81,2025-03-07
8beac773-4233-4ee6-b038-f1eeb8a703e3,212,Service_3,215,156.57,2025-09-12
b0a0804e-e71b-401a-b987-53f843eb568b,311,Service_3,77,615.29,2025-04-20
3666a838-5a39-4bc1-8c68-976ce774e83d,18,Service_3,331,305.44,2024-12-24
5c9217e0-1864-478f-b4a8-b440840ff33c,108,Service_3,486,152.43,2025-03-28
d07a096c-ca12-4e3d-82cd-d039f25ce23c,205,Service_3,175,891.81,2025-09-13
d678e64d-c121-48b6-a998-0dfbe83bc5fc,237,Service_3,373,743.86,2025-06-08
b8cc6c61-b34f-487f-a9c8-f44cb1a8238d,162,Service_3,472,786.88,2023-12-04
d79dcb71-d577-481b-9f5f-91ea359673e4,150,Service_3,146,342.85,2024-10-16
cd3e4d7b-97da-4392-8580-8bec233b32d5,177,Service_3,268,723.17,2024-01-17
7ad6b6e4-fb9f-4ed4-9ec1-370ab9632520,178,Service_3,421,952.71,2024-04-02
3feb1434-56b5-4467-9e24-32d76eb86b57,15,Service_3,62,319.25,2024-08-28
1e85e50a-7482-4bf7-b444-2b3b51feecbb,39,Service_3,245,679.59,2024-05-19
6833f22f-fc76-4cba-91c3-c2ab0b67825b,131,Service_3,456,83.14,2024-01-23
92679de8-2213-480d-b113-350e17ceea31,258,Service_3,113,783.63,2025-08-18
11668462-a1f6-4648-856b-943185212522,131,Service_3,252,502.66,2025-07-03
542de684-d762-4fda-87fd-c0a28affe12a,264,Service_3,337,330.21,2025-03-10
a7c8e64e-b4fd-4261-87d9-d9155ad17fe7,218,Service_3,342,854.57,2024-09-10
31b1c850-63d9-4d0d-bf7e-a9d0d4a6656d,171,Service_3,491,986.11,2025-04-14
efd6dc87-304a-41db-a5b1-a1207b179588,185,Service_3,86,437.19,2025-03-28
146edf5d-246d-4a96-b268-1ab64d49459e,50,Service_3,479,447.81,2025-08-26
7e2141d2-46ae-4508-b802-4c7888fa7479,221,Service_3,246,130.34,2025-04-24
4f4236b3-6e62-4d83-a4c4-ef7837572eb3,43,Service_3,485,408.46,2025-03-03
418c8344-7280-4e7f-afe1-8e3a3cbde712,67,Service_3,141,439.99,2024-07-04
22c225b9-9ac6-4da0-84cf-9bef9c8f3351,309,Service_3,277,217.42,2024-12-06
6c6a21b5-3ce2-45a3-9986-c9da178bcc57,18,Service_3,441,694.94,2024-02-19
da7edb02-98a0-423d-a265-4f2bd0293815,52,Service_3,395,815.78,2025-06-06
083c070b-7ced-4ecf-9ac1-eda9c2654c76,278,Service_3,443,635.81,2025-07-10
8c2ccb01-6694-444f-a5bb-a48ddd1a1976,142,Service_3,25,325.13,2024-09-27
3039bd0d-76fd-4ce3-8de2-1fe67e663aea,234,Service_3,337,649.23,2024-05-23
